('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752101 function calls (734045 primitive calls) in 1.731 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2992    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
    162/1    0.001    0.000    1.731    1.731 {built-in method builtins.exec}
     5936    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      254    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
     2708    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
2005/2003    0.001    0.000    0.002    0.000 element.py:2203(_normalize_search_value)
      121    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
     9976    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     6111    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      160    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      221    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
      895    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     6597    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      192    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       41    0.001    0.000    0.008    0.000 response.py:121(decompress)
     3897    0.001    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
      913    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      320    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    212/4    0.001    0.000    0.251    0.063 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       54    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     1360    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     3878    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       49    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
     7535    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
