('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         759778 function calls (743103 primitive calls) in 1.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1384    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1384    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1323    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
 1179/960    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1082    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     1039    0.000    0.000    0.000    0.000 element.py:1543(get)
     1031    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
 1022/174    0.004    0.000    0.045    0.000 _parser.py:452(_parse_sub)
 1018/945    0.001    0.000    0.011    0.000 typing.py:392(inner)
      988    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      981    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      981    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      969    0.000    0.000    0.000    0.000 contextlib.py:443(__enter__)
      969    0.000    0.000    0.000    0.000 contextlib.py:440(__init__)
      969    0.000    0.000    0.000    0.000 contextlib.py:446(__exit__)
      960    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      955    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
      931    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      922    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      851    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      850    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      790    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      768    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      744    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      741    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      718    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      714    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      714    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      705    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      685    0.000    0.000    0.000    0.000 _parser.py:83(groups)
  680/679    0.011    0.000    0.085    0.000 {built-in method builtins.__build_class__}
      648    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
      643    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      637    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      632    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      612    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      612    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
      598    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      596    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      556    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      556    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
   546/10    0.000    0.000    0.290    0.029 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      492    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      492    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
      472    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      472    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      466    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      466    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      458    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      457    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      453    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      452    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      449    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      420    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      420    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      419    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      419    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      419    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      412    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      403    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      401    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      400    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      393    0.002    0.000    0.077    0.000 __init__.py:280(_compile)
      389    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      384    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      384    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
  368/304    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
