('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752140 function calls (734066 primitive calls) in 6.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6059    0.001    0.000    0.005    0.000 {built-in method builtins.next}
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
        1    0.001    0.001    6.704    6.704 financial.py:1(<module>)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      188    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
     6381    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
       41    0.001    0.000    0.009    0.000 response.py:121(decompress)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
        2    0.001    0.000    0.001    0.000 {function socket.close at 0x7410c6b0dda0}
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     2708    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     4644    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      188    0.001    0.000    0.102    0.001 _compiler.py:740(compile)
     2513    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      320    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     9976    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     6111    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     2991    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     3897    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     5734    0.001    0.000    0.001    0.000 element.py:2062(descendants)
      880    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      121    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      311    0.001    0.000    1.060    0.003 ssl.py:1237(recv_into)
    52/14    0.001    0.000    0.013    0.001 css_parser.py:911(parse_selectors)
      895    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     1360    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     7535    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       49    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
    162/1    0.001    0.000    6.704    6.704 {built-in method builtins.exec}
      160    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     2732    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
      187    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     3878    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      376    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
       54    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
    212/4    0.001    0.000    0.246    0.061 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     2992    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
2005/2003    0.001    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
      802    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      192    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      120    0.001    0.000    0.002    0.000 _htmlparser.py:241(handle_comment)
     2756    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3897    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      221    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
       21    0.001    0.000    0.585    0.028 __init__.py:1(<module>)
      160    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      913    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      311    0.001    0.000    1.061    0.003 socket.py:693(readinto)
      302    0.001    0.000    0.106    0.000 __init__.py:226(compile)
     3209    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
    187/4    0.000    0.000    0.245    0.061 <frozen importlib._bootstrap>:911(_load_unlocked)
     1425    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
       15    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
    432/8    0.000    0.000    0.245    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      839    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     2481    0.000    0.000    0.002    0.000 css_parser.py:307(match)
     3430    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       41    0.000    0.000    0.361    0.009 response.py:1160(read_chunked)
       24    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      188    0.000    0.000    0.065    0.000 _parser.py:969(parse)
     2991    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
       85    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
      254    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
     2277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2992    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
      539    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
     2877    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1039    0.000    0.000    0.001    0.000 element.py:1543(get)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2852    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     1002    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 connection.py:84(HTTPConnection)
     1107    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      488    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      210    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      412    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      193    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      188    0.000    0.000    0.035    0.000 _compiler.py:573(_code)
    160/4    0.000    0.000    0.245    0.061 <frozen importlib._bootstrap_external>:989(exec_module)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1402    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      169    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
  170/161    0.000    0.000    0.003    0.000 typing.py:392(inner)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       85    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.027    0.027 dammit.py:67(EntitySubstitution)
      311    0.000    0.000    1.059    0.003 ssl.py:1095(read)
  187/184    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     2577    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1691    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
  208/174    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
  627/569    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      174    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    75/42    0.000    0.000    0.144    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       22    0.000    0.000    0.001    0.000 enum.py:528(__new__)
       66    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      481    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      488    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       48    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      582    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      160    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      720    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.001    0.001 connectionpool.py:1174(_close_pool_connections)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      212    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        2    0.000    0.000    0.002    0.001 readers.py:1(<module>)
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
  161/158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      252    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      311    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      508    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      162    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
